"2026/02/18 10:15:45 AM GMT+5:30","School IT Teacher","ICT Teacher (O/L)","Education - School","51-200","5-8 years","On-site","Standard Laptop","8 GB","Intel","Entry-level","Intel Core i5-1135G7","4 cores","2.4 GHz","SATA SSD","256 GB","Integrated","Intel Iris Xe","Shared","Windows 11","15 inches","Single monitor","MS Office, Scratch, Python IDLE, Zoom","Small","LKR 120,000 - 180,000","Teaching, practical demos","5-7 hours","Moderately","2 - Light","Partially","Slow when 30+ Chrome tabs","Occasionally","Frequently","Yes (school UPS)","School Fiber","More RAM;Faster CPU","2.5 years ago","Windows Laptop","No portability needed","Students complain when laptop freezes during class"
"2026/02/18 10:45:10 AM GMT+5:30","Digital Marketing Executive","Social Media Specialist","Marketing/Advertising","11-50","2-4 years","Hybrid","Standard Laptop","16 GB","AMD","Mid-range","AMD Ryzen 5 7535HS","6 cores","3.3 GHz","NVMe SSD","512 GB","Integrated","AMD Radeon","Shared","Windows 11","15 inches","Dual monitors","Canva, Meta Business Suite, Hootsuite, Photoshop","Small-Medium","LKR 200,000 - 280,000","Content scheduling, analytics","6-8 hours","Frequently","3 - Moderate","Yes","No major issues","Never","Rarely","Yes (UPS)","SLT Fiber","Larger screen","10 months ago","Windows Laptop","Must be portable","Good enough for daily social media work"
"2026/02/18 11:20:25 AM GMT+5:30",".NET Developer","Backend Developer","Information Technology (IT)","51-200","4-6 years","Hybrid","Desktop PC","32 GB","Intel","High-end","Intel Core i7-13700","16 cores","2.1 GHz","NVMe SSD","1 TB","Mid-range dedicated","NVIDIA RTX 3060","12 GB","Windows 11","27 inches","Triple monitors","Visual Studio, SQL Server, Postman, Docker","Medium","Above LKR 300,000","API development, database work","9 hours","Frequently","4 - Heavy","Yes","No issues","Never","Occasionally","Yes (UPS)","Dialog Fiber","More cores or GPU","6 months ago","Desktop Tower","No portability","Solid setup for .NET + containers"
"2026/02/18 11:55:50 AM GMT+5:30","University Student (Part-time job)","3rd Year IT Student + Freelancer","Education/IT","Self + University","2-3 years","Hybrid","Gaming Laptop","16 GB","Intel","Mid-range","Intel Core i5-13450HX","10 cores","2.4 GHz","NVMe SSD","512 GB","Entry-level dedicated","RTX 4050","6 GB","Windows 11","15.6 inches","Single monitor","VS Code, Unity, Blender, Upwork tools","Medium-Large","LKR 280,000 - 350,000","Studies + small freelance projects","8-10 hours","Frequently","3-4 Moderate-Heavy","Partially","Thermal throttling in long sessions","Occasionally","Frequently (power cuts)","Yes (personal UPS)","Home Fiber + Mobile","Better cooling;More RAM","1 year ago","Windows Laptop","Must be portable","Balancing studies and gigs – needs reliability"
"2026/02/18 12:30:15 PM GMT+5:30","HR Officer (Tech company)","HR Executive","Human Resources","51-200","3-5 years","On-site","Standard Laptop","8 GB","Intel","Entry-level","Intel Core i3-1315U","6 cores","1.2 GHz","NVMe SSD","256 GB","Integrated","UHD","Shared","Windows 11","14 inches","Dual monitors","Workday, BambooHR, MS Office, Zoom","Small","LKR 140,000 - 200,000","Recruitment, onboarding","6-8 hours","Moderately","1-2 Light","Yes","Slow Excel with 1000+ rows","Rarely","Occasionally","Yes (UPS)","Company Fiber","More RAM","1.8 years ago","Windows Laptop","No portability needed","Basic but functional for HR tasks"
"2026/02/18 1:05:40 PM GMT+5:30","Unity Game Developer (Indie)","Indie Game Dev","Gaming/Media","Self-employed","2-4 years","Remote","Desktop PC","64 GB","AMD","High-end","AMD Ryzen 9 7900X","12 cores","4.7 GHz","NVMe SSD","2 TB","High-end dedicated","RTX 4070 Ti","12 GB","Windows 11","32 inches","Triple monitors","Unity, Blender, Git, Substance Painter","Large (100 MB - 1+ GB)","Above LKR 400,000","Game prototyping, asset creation","10+ hours","Frequently","5 - Very Heavy","Yes","Render times can be long","Never","Rarely","Yes (UPS)","SLT Fiber","Even better GPU","4 months ago","Desktop Tower","Stationary","Dream setup for solo indie dev"
"2026/02/18 1:40:55 PM GMT+5:30","Graphic Design Intern","Junior Graphic Designer","Creative/Media","11-50","Less than 1 year","Hybrid","Standard Laptop","16 GB","Apple","Mid-range","Apple M2","8 cores","3.5 GHz","NVMe SSD","512 GB","Integrated","Apple GPU","Shared","macOS","13 inches","Dual monitors","Photoshop, Illustrator, Figma, InDesign","Medium","LKR 220,000 - 300,000","Social media creatives, branding","6-8 hours","Frequently","3 - Moderate","Yes","No issues","Never","Rarely","Not needed","Dialog Fiber","More storage","9 months ago","MacBook","Must be portable","Internship provided – happy with it"
"2026/02/18 2:15:20 PM GMT+5:30","Network Support Engineer","Field Technician","Telecom/IT","201-500","5-8 years","On-site","Standard Laptop","16 GB","Intel","Mid-range","Intel Core i7-1255U","10 cores","1.7 GHz","NVMe SSD","512 GB","Integrated","Iris Xe","Shared","Windows 11","15 inches","Single monitor","Putty, Wireshark, SolarWinds, Excel","Small","LKR 200,000 - 280,000","Site visits, troubleshooting","8 hours","Moderately","2 - Light","Yes","Battery drains fast on field","Occasionally","Frequently (travel)","Yes (car inverter sometimes)","Mobile 5G + Fiber","Larger battery","2 years ago","Windows Laptop","Must be portable","Ruggedness would be nice for field work"
"2026/02/18 2:50:45 PM GMT+5:30","Python Automation Engineer","RPA Developer","Information Technology (IT)","51-200","3-5 years","Remote","Desktop PC","32 GB","AMD","High-end","AMD Ryzen 7 7700","8 cores","3.8 GHz","NVMe SSD","1 TB","Mid-range dedicated","RTX 3060","12 GB","Windows 11","27 inches","Dual monitors","UiPath, Python, Selenium, Excel","Medium","Above LKR 300,000","Bot development, process automation","8-9 hours","Frequently","4 - Heavy","Yes","No issues","Never","Rarely","Yes (UPS)","Dialog Fiber","More RAM","7 months ago","Desktop Tower","Stationary","Perfect for RPA workloads"
"2026/02/18 3:25:10 PM GMT+5:30","University Student (Final Year Project)","Software Engineering Final Year","Education - University","1000+","Less than 1 year (full-time)","Hybrid","Gaming Laptop","16 GB","AMD","Mid-range","AMD Ryzen 7 6800H","8 cores","3.2 GHz","NVMe SSD","512 GB","Mid-range dedicated","RTX 3060","6 GB","Windows 11","15.6 inches","Single monitor","VS Code, Android Studio, Docker, MySQL","Medium-Large","LKR 280,000 - 350,000","Final year project + part-time coding","8-10 hours","Frequently","3-4 Moderate","Partially","Overheating during builds","Occasionally","Frequently","Not always","University + Home Fiber","Better cooling;More RAM","1.2 years ago","Windows Laptop","Must be portable","Project involves ML – GPU helps but heats up"
"2026/02/18 4:00:35 PM GMT+5:30","E-commerce Operations","Online Store Manager","Retail/E-commerce","11-50","2-4 years","Hybrid","Standard Laptop","16 GB","Intel","Mid-range","Intel Core i5-1335U","10 cores","1.3 GHz","NVMe SSD","512 GB","Integrated","Iris Xe","Shared","Windows 11","14 inches","Dual monitors","Shopify, Google Sheets, Canva, Slack","Small-Medium","LKR 180,000 - 250,000","Order processing, customer support","7 hours","Frequently","2 - Light","Yes","Slow when many tabs open","Rarely","Occasionally","Yes (UPS)","Dialog Fiber","More RAM","1 year ago","Windows Laptop","No portability needed","Handles daily ops well"
"2026/02/18 4:35:50 PM GMT+5:30","Laravel Developer (Freelance)","PHP Backend Dev","Information Technology (IT)","Self-employed","4-6 years","Remote","Desktop PC","64 GB","AMD","High-end","AMD Ryzen 9 7900","12 cores","4.7 GHz","NVMe SSD","2 TB","Mid-range dedicated","RTX 4070","12 GB","Ubuntu 24.04","32 inches","Dual monitors","VS Code, PHPStorm, Docker, MySQL Workbench","Medium","Above LKR 350,000","Freelance projects, API dev","9-11 hours","Frequently","4 - Heavy","Yes","No issues","Never","Rarely","Yes (UPS)","SLT Fiber","Larger SSD","5 months ago","Desktop Tower","Stationary","Linux desktop – very productive"
"2026/02/18 5:10:15 PM GMT+5:30","After-school Coding Tutor","Coding Instructor","Education - Private","1-10","2-3 years","On-site","Standard Laptop","16 GB","Apple","Mid-range","Apple M2 Air","8 cores","3.5 GHz","NVMe SSD","512 GB","Integrated","Apple GPU","Shared","macOS","13 inches","Single monitor","VS Code, Replit, Zoom, Scratch","Small","LKR 200,000 - 280,000","Teaching kids coding","4-6 hours","Moderately","2 - Light","Yes","No issues","Never","Rarely","Not needed","Home Fiber","Larger screen","11 months ago","MacBook Air","Must be portable","Lightweight and great battery for classes"
"2026/02/18 5:45:40 PM GMT+5:30","Junior Data Engineer","ETL Developer","Information Technology (IT)","51-200","1-3 years","Hybrid","Desktop PC","32 GB","Intel","High-end","Intel Core i7-13700F","16 cores","2.1 GHz","NVMe SSD","1 TB","Mid-range dedicated","RTX 4060 Ti","8 GB","Windows 11","27 inches","Dual monitors","Airflow, Spark, PostgreSQL, dbt","Large","Above LKR 300,000","Data pipelines, transformations","8 hours","Frequently","4 - Heavy","Yes","Occasional memory pressure","Rarely","Rarely","Yes (UPS)","Dialog Fiber","More RAM","9 months ago","Desktop Tower","Stationary","Good entry into data eng"
"2026/02/18 6:20:05 PM GMT+5:30","UI Designer (Product)","Product UI Designer","Information Technology (IT)","11-50","3-5 years","Remote","MacBook Pro","32 GB","Apple","High-end","Apple M3 Pro","12 cores","3.0 GHz","NVMe SSD","1 TB","Integrated","Apple GPU","Shared","macOS","16 inches","Dual monitors","Figma, FigJam, Zeplin, Notion","Small-Medium","Above LKR 400,000","Interface design, prototyping","8 hours","Frequently","3 - Moderate","Yes","No issues","Never","Rarely","Not needed","SLT Fiber","More storage","6 months ago","MacBook Pro","Must be portable","Love the screen and performance"
"2026/02/18 6:55:30 PM GMT+5:30","University Student (Gaming + Studies)","CS Undergraduate Year 2","Education - University","501-1000","Less than 1 year","On-site","Gaming Laptop","16 GB","AMD","Mid-range","AMD Ryzen 5 7640HS","6 cores","4.3 GHz","NVMe SSD","512 GB","Mid-range dedicated","RTX 4050","6 GB","Windows 11","15.6 inches","Single monitor","Unity, VS Code, Discord, Chrome","Medium","LKR 250,000 - 320,000","Studies + personal game projects","7-9 hours","Frequently","3 - Moderate","Yes","Battery poor when gaming","Occasionally","Frequently (hostel)","Not always","University WiFi","Better battery","1 year ago","Windows Laptop","Must be portable","Gaming + coding balance ok"
"2026/02/18 7:30:55 PM GMT+5:30","IT Support (SME)","Helpdesk Technician","Information Technology (IT)","1-10","1-2 years","On-site","Standard Laptop","8 GB","Intel","Entry-level","Intel N100","4 cores","0.8-3.4 GHz","eMMC","128 GB","Integrated","UHD","Shared","Windows 11","14 inches","Single monitor","TeamViewer, AnyDesk, Chrome, Office","Small","Under LKR 120,000","Client support, basic fixes","6 hours","Moderately","1 - Very light","Partially","Very slow multitasking","Frequently","Frequently","Yes (UPS)","Mobile 4G","Faster CPU;More RAM;SSD","2+ years ago","Windows Laptop","Must be portable","Very budget – struggles daily"
"2026/02/18 8:05:20 PM GMT+5:30","React Native Freelancer","Cross-platform Mobile Dev","Information Technology (IT)","Self-employed","4-6 years","Remote","Desktop PC","64 GB","AMD","High-end","AMD Ryzen 9 7950X","16 cores","4.5 GHz","NVMe SSD","4 TB","High-end dedicated","RTX 4080","16 GB","Windows 11 / Ubuntu dual","32 inches","Triple monitors","VS Code, Expo, Android Studio, Xcode VM","Medium-Large","Above LKR 450,000","Client apps, personal projects","10+ hours","Frequently","4 - Heavy","Yes","No issues","Never","Rarely","Yes (UPS)","Dialog Fiber","Nothing – satisfied","3 months ago","Desktop Tower","Stationary","Beast mode for freelance"
"2026/02/18 8:40:45 PM GMT+5:30","Accounts Teacher (Private)","Commerce Teacher","Education - Private","11-50","6-10 years","On-site","Standard Laptop","16 GB","Intel","Mid-range","Intel Core i5-1340P","12 cores","1.9 GHz","NVMe SSD","512 GB","Integrated","Iris Xe","Shared","Windows 11","15 inches","Dual monitors","Excel, QuickBooks, Zoom, Google Classroom","Medium","LKR 180,000 - 250,000","Teaching accounting, practicals","5-7 hours","Moderately","2 - Light","Yes","Large Excel files slow","Rarely","Occasionally","Yes (UPS)","School Fiber","More RAM","1.5 years ago","Windows Laptop","No portability","Good for teaching demos"
"2026/02/18 9:15:10 PM GMT+5:30","Junior ML Engineer","AI Research Assistant","Information Technology (IT)","51-200","1-3 years","Hybrid","Desktop PC","128 GB","AMD","High-end","AMD Ryzen Threadripper 7960X","24 cores","4.2 GHz","NVMe SSD","4 TB","High-end dedicated","RTX 4090","24 GB","Ubuntu 24.04","32 inches","Dual monitors","PyTorch, Jupyter, HuggingFace, CUDA","Very large (>1 GB)","Above LKR 500,000 (company)","Model training, experiments","9 hours","Frequently","5 - Very Heavy","Yes","Nothing major","Never","Rarely","Yes (UPS)","LEARN / SLT Fiber","Even more VRAM if possible","4 months ago","Desktop Tower","Stationary","Research grade workstation"
"2026/02/18 9:50:35 PM GMT+5:30","Web Designer (Freelance)","WordPress Specialist","Information Technology (IT)","Self-employed","3-5 years","Remote","Standard Laptop","16 GB","Intel","Mid-range","Intel Core i7-1355U","10 cores","1.7 GHz","NVMe SSD","1 TB","Integrated","Iris Xe","Shared","Windows 11","15 inches","Dual monitors","Elementor, Photoshop, Chrome DevTools","Medium","LKR 220,000 - 300,000","Website building, client revisions","7-9 hours","Frequently","3 - Moderate","Yes","No issues","Never","Rarely","Yes (UPS)","Dialog Fiber","Larger screen","8 months ago","Windows Laptop","Must be portable","Efficient for WP + design"
"Timestamp","What is your primary job role/category?","If comfortable, please specify your exact job title (Optional):","What industry/sector do you work in?","Company size (number of employees)","How many years of work experience do you have?","Work arrangement","What type of computer do you primarily use for work?","RAM (Memory) capacity","Processor (CPU) brand","Processor performance tier (if known)","Specific processor model (Optional - Example: Intel Core i7-13700K, AMD Ryzen 7 5800X, Apple M2):","Number of CPU cores","Processor base speed (GHz)","Primary storage type","Total storage capacity","Graphics card (GPU) type","If you have a dedicated graphics card, specify the model (Optional - Example: NVIDIA RTX 4060, AMD Radeon RX 7600):","Graphics card memory (VRAM)","Operating system","Screen size (for laptops/all-in-ones)","Do you use multiple monitors?","What software/applications do you use regularly?","What is the typical size of files you work with?","What is your budget for a PC?","Primary work activities","How many hours per day do you use your PC for work?","Do you run multiple applications simultaneously?","Rate the intensity of your typical workload:","Is your current PC sufficient for your work requirements?","What performance issues do you experience?","How often does your PC slow down or struggle during work?","Do you experience power interruptions at your location?","Do you use a UPS or generator?","What type of internet connection do you use for work?","If you could upgrade your PC, what would you prioritize?","When was your current PC purchased or assigned to you?","PC form factor preference?","Portability requirement?","Any additional comments about your PC specifications, work requirements, or suggestions for the PC recommendation system?"
"2026/02/18 07:12:45 AM GMT+5:30","University/College Student (CS/IT)","1st Year Information Systems Student","Education - University","1000+ (Enterprise)","Less than 1 year","On-site (at campus/office)","Budget Laptop","8 GB","AMD","Entry-level (i3, Ryzen 3, M1)","AMD Ryzen 3 7320U","4 cores","2.4 GHz","SATA SSD (Slower SSD)","256 GB","Integrated graphics (Intel UHD, AMD Radeon)","AMD Radeon 610M","Shared","Windows 11 Home","14 inches","Single monitor/screen only","Chrome, MS Office, VS Code (basic), Zoom, Moodle","Small (Under 10 MB)","Under LKR 130,000","Online classes, basic assignments, note-taking","4-6 hours","Occasionally (2-3 apps at a time)","1 - Very light (email, web browsing)","No (insufficient for my needs)","Slow loading;Freezes with Zoom + browser","Frequently (multiple times daily)","Frequently (4+ hours/week)","Not needed","University WiFi + Mobile 4G","Faster CPU/Processor;More RAM (memory);Faster storage (SSD upgrade)","More than 3 years ago","Windows Laptop","Must be portable (travel frequently for work)","Very outdated – can't handle modern web apps well"
"2026/02/18 08:28:19 AM GMT+5:30","Junior Backend Developer","Node.js Developer","Information Technology (IT)","11-50 (Small to medium)","1-2 years","Remote/Work from home","Standard Laptop","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i5-13420H","8 cores","2.1 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Entry-level dedicated GPU (GTX 1650, RX 6500 XT)","NVIDIA RTX 3050","4 GB","Windows 11","15.6 inches","Dual monitors","VS Code, Postman, MongoDB Compass, Docker Desktop, Git","Medium (10 MB - 100 MB)","LKR 280,000 - 350,000","API building, debugging, learning cloud","7-9 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs","Slight fan noise during long compiles","Rarely (once a week or less)","Rarely (1-2 hours/month)","Yes (UPS)","Dialog Fiber","Larger SSD;Better cooling","Less than 1 year ago","Windows Laptop","Must be portable (travel frequently for work)","Decent for junior role but want quieter machine"
"2026/02/18 09:47:33 AM GMT+5:30","Secondary School Teacher","A/L ICT Teacher","Education - School","51-200 (Medium-sized business)","7-10 years","On-site (at campus/office)","Standard Laptop","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i5-1335U","10 cores","1.3 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel Iris Xe","Shared","Windows 11 Pro","15 inches","Dual monitors","MS Office, Zoom, OBS Studio, Python IDLE, Arduino IDE","Small (Under 10 MB)","LKR 180,000 - 250,000","Theory classes, practical coding sessions, grading","6-8 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (school generator)","School Fiber","Larger external monitor","2 years ago","Windows Laptop","No, can be stationary","Good for teaching but projector lag sometimes"
"2026/02/18 10:59:07 AM GMT+5:30","Freelance Web Designer","UI Designer (Freelance)","Creative Arts/Media","Self-employed/Freelancer","2-3 years","Remote/Work from home","MacBook Air","16 GB","Apple","Mid-range (i5, Ryzen 5, M1/M2)","Apple M2","8 cores","3.5 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics","Apple M2 GPU","Shared","macOS Sonoma","13 inches","Dual monitors (external)","Figma, Adobe XD, Photoshop, Webflow, Notion","Small (Under 10 MB)","Above LKR 300,000","Client websites, prototypes, revisions","6-10 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs","Storage fills quickly with assets","Occasionally (2-3 times per week)","Rarely (1-2 hours/month)","Not needed","SLT Fiber","Larger/faster storage (SSD upgrade)","1 year ago","MacBook or Mac desktop","Must be portable (travel frequently for work)","Battery lasts all day – perfect for freelance"
"2026/02/18 12:14:52 PM GMT+5:30","IT Sales Executive","Laptop Sales Consultant","Retail/IT Sales","11-50 (Small to medium)","3-5 years","On-site (at campus/office)","Standard Laptop","8 GB","AMD","Entry-level (i3, Ryzen 3, M1)","AMD Ryzen 5 7520U","4 cores","2.8 GHz","SATA SSD (Slower SSD)","256 GB","Integrated graphics","AMD Radeon Graphics","Shared","Windows 11","14 inches","Single monitor/screen only","ERP system, Excel, Chrome, WhatsApp Web","Small (Under 10 MB)","LKR 150,000 - 220,000","Customer demos, quotes, follow-ups","8 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Partially (some tasks are slow or require workarounds)","Slow when opening many product PDFs","Occasionally (2-3 times per week)","Occasionally (1-2 hours/week)","Yes (UPS)","Shop Fiber","More RAM (memory);Faster storage","1.5 years ago","Windows Laptop","No, can be stationary","Need faster for quick demos to customers"
"2026/02/18 01:36:28 PM GMT+5:30","Data Entry Operator (Bank)","Junior Data Processor","Finance/Banking","201-500 (Large organization)","1-2 years","On-site (at campus/office)","Budget Laptop","8 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Core i3-1215U","6 cores","1.2 GHz","HDD (Mechanical hard drive)","500 GB","Integrated graphics","Intel UHD Graphics","Shared","Windows 10","15 inches","Single monitor/screen only","Excel, Core Banking Software, PDF readers","Small (Under 10 MB)","Under LKR 140,000","Data input, verification, reports","7-9 hours","Occasionally (2-3 apps at a time)","1 - Very light (email, web browsing)","No (insufficient for my needs)","Very slow boot;Freezes on large Excel","Frequently (daily)","Frequently (3-4 hours/week)","Yes (UPS)","Bank network","Faster storage (SSD upgrade);More RAM","More than 3 years ago","Windows Laptop","No, can be stationary","Old HDD killing productivity – urgent SSD needed"
"2026/02/18 03:08:41 PM GMT+5:30","Game Modder / Hobbyist","Unity Hobbyist Developer","Gaming/Media","Self-employed/Freelancer","Less than 1 year","Remote/Work from home","Gaming Laptop","16 GB","AMD","Mid-range (i5, Ryzen 5, M1/M2)","AMD Ryzen 7 7735HS","8 cores","3.2 GHz","NVMe SSD (Faster PCIe SSD)","1 TB","Mid-range dedicated GPU (RTX 3060, RX 6700 XT)","NVIDIA RTX 4050","6 GB","Windows 11","16 inches","Dual monitors","Unity, Blender, Git, Discord","Large files (100 MB - 1 GB)","LKR 320,000 - 400,000","Personal mods, small games, learning","8-12 hours","Frequently (6-10 applications at a time)","4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs","Gets hot during long renders","Occasionally (2-3 times per week)","Rarely (1-2 hours/month)","Yes (UPS)","Dialog Fiber","Better cooling;More VRAM","8 months ago","Windows Laptop","Must be portable (travel frequently for work)","Great for hobby but thermal throttling noticeable"
"2026/02/18 04:42:19 PM GMT+5:30","Mobile Repair Technician","Phone & Laptop Technician","Repair/Services","1-10 (Small business/Startup)","4-6 years","On-site (at campus/office)","Standard Laptop","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i5-12450H","8 cores","2.0 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics","Intel UHD Graphics","Shared","Windows 11","15 inches","Dual monitors","Diagnostic tools, iTunes, Odin, Schematics PDF","Medium (10 MB - 100 MB)","LKR 200,000 - 280,000","Device flashing, troubleshooting, customer logs","8-10 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Shop Fiber + Mobile","Larger storage","1 year ago","Windows Laptop","No, can be stationary","Handles multiple tools well now"
"2026/02/18 06:15:56 PM GMT+5:30","MSc Student (Data Science)","Postgraduate Student","Education - University","501-1000 (Large organization)","2-3 years","Hybrid","Gaming Laptop","32 GB","AMD","High-end (i7, Ryzen 7, M2/M3)","AMD Ryzen 9 7945HX","16 cores","2.5 GHz","NVMe SSD (Faster PCIe SSD)","1 TB","High-end dedicated GPU (RTX 4070, RX 7800 XT)","NVIDIA RTX 4070","8 GB","Windows 11 / Ubuntu dual boot","16 inches","Dual monitors","Jupyter, PyTorch, Pandas, VS Code, Tableau","Large files (100 MB - 1 GB)","Above LKR 400,000","Thesis experiments, coursework, Kaggle","8-10 hours","Frequently (6-10 applications at a time)","4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs","Fan very loud during training","Occasionally (2-3 times per week)","Occasionally (1-2 hours/week)","Yes (UPS)","University + Home Fiber","Quiet fans;More VRAM","6 months ago","Windows Laptop","Must be portable (travel frequently for work)","Strong for MSc but noisy in library"
"2026/02/18 07:49:22 PM GMT+5:30","Office Administrator","Admin Executive (IT Firm)","Information Technology (IT)","51-200 (Medium-sized business)","5-8 years","Hybrid","Standard Laptop","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i7-1255U","10 cores","1.7 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics","Intel Iris Xe","Shared","Windows 11","14 inches","Dual monitors","MS Office 365, Google Workspace, Trello, Zoom","Small (Under 10 MB)","LKR 220,000 - 300,000","Scheduling, emails, reports, coordination","7-9 hours","Frequently (6-10 applications at a time)","2 - Light (document editing, web browsing)","Yes, fully meets my needs","No performance issues","Never","Rarely (1-2 hours/month)","Yes (UPS)","Dialog Fiber","Nothing major","1 year ago","Windows Laptop","Must be portable (travel frequently for work)","Reliable daily driver for admin work"
